0.636364,0.488372 
0.636364,0.494382 
0.636364,0.494382 
0.636364,0.494382 
0.785714,0.466667 
0.636364,0.494382 
1.000000,0.645161 
0.350000,0.473282 
0.362069,0.466165 
0.588235,0.545455 
0.363636,0.481818 
0.363636,0.490909 
0.363636,0.490909 
0.375000,0.574468 
1.000000,0.645161 
0.386768,0.471717 
0.511628,0.518672 
0.333333,0.306122 
0.406504,0.418451 
0.406504,0.418107 
0.406504,0.417763 
0.411290,0.418930 
0.210526,0.280374 
0.534884,0.428571 
0.560000,0.388889 
0.250000,0.298851 
0.352941,0.539683 
0.352941,0.531250 
0.347826,0.551724 
0.352941,0.531250 
0.347826,0.390977 
0.166667,0.666667 
0.444444,0.459459 
0.466667,0.451613 
0.269231,0.508772 
0.269231,0.508772 
0.307692,0.517241 
0.444444,0.700000 
0.333333,0.151515 
0.470588,0.371429 
0.400000,0.464286 
0.533333,0.470588 
0.333333,0.500000 
0.333333,0.428571 
0.583333,0.378378 
0.400000,0.551724 
0.428571,0.466667 
0.444444,0.476190 
0.166667,0.653846 
0.166667,0.615385 
0.315789,0.604167 
0.372093,0.379032 
0.372093,0.379032 
0.347826,0.390977 
0.333333,0.314286 
0.511628,0.518672 
1.000000,0.645161 
0.333333,0.417582 
1.000000,0.500000 
0.381443,0.482456 
0.359551,0.477578 
0.375000,0.480370 
0.367816,0.482759 
0.750000,0.470588 
